,DESTINATION_AIRPORT,AIRLINE,FLIGHT_COUNT_DESTINATION,AVERAGE_ARRIVAL_DELAY,parents_destination
512,HIB,OO,876,-0.0182648401826484,Airports
513,HLN,OO,1421,-1.1527093596059113,Airports
514,HNL,AA,2382,16.43324937027708,Airports
515,HNL,AS,2339,-5.127832407011543,Airports
516,HNL,DL,2750,5.784727272727273,Airports
517,HNL,HA,30096,3.039905635300372,Airports
518,HNL,UA,4883,13.902109359000614,Airports
519,HNL,US,415,10.330120481927711,Airports
520,HNL,VX,60,-3.55,Airports
521,HOB,EV,539,3.0500927643784785,Airports
522,HOU,AA,161,7.273291925465839,Airports
523,HOU,B6,658,1.7294832826747721,Airports
524,HOU,DL,1692,-5.224586288416075,Airports
525,HOU,EV,599,12.39398998330551,Airports
526,HOU,MQ,1176,9.397108843537415,Airports
527,HOU,WN,46728,4.19512925868858,Airports
528,HPN,B6,3514,10.192373363688105,Airports
529,HPN,EV,2732,10.62628111273792,Airports
530,HPN,MQ,890,-0.8269662921348314,Airports
531,HRL,EV,1139,1.8156277436347674,Airports
532,HRL,OO,32,2.96875,Airports
533,HRL,WN,1854,6.089536138079827,Airports
534,HSV,DL,1760,0.86875,Airports
535,HSV,EV,2029,7.414489896500739,Airports
536,HSV,MQ,653,5.949464012251148,Airports
537,HYA,B6,81,3.5555555555555554,Airports
538,HYS,OO,561,-3.2905525846702317,Airports
539,IAD,AA,2459,5.287108580723872,Airports
540,IAD,AS,265,-8.871698113207547,Airports
541,IAD,B6,1834,4.9651035986913845,Airports
542,IAD,DL,2355,-1.073036093418259,Airports
543,IAD,EV,3170,8.935331230283913,Airports
544,IAD,F9,1912,18.48378661087866,Airports
545,IAD,OO,244,8.381147540983607,Airports
546,IAD,UA,17825,2.3332398316970546,Airports
547,IAD,VX,1478,-2.318673883626522,Airports
548,IAD,WN,2160,5.17037037037037,Airports
549,IAG,NK,313,9.824281150159745,Airports
550,IAH,AA,6386,5.127622925148763,Airports
551,IAH,AS,379,0.8970976253298153,Airports
552,IAH,DL,2916,-0.8388203017832647,Airports
553,IAH,EV,56868,4.0438207779419,Airports
554,IAH,F9,1518,15.046113306982873,Airports
555,IAH,MQ,25,18.08,Airports
556,IAH,NK,4984,18.994983948635635,Airports
557,IAH,OO,15011,9.508027446539204,Airports
558,IAH,UA,53075,5.2598963730569945,Airports
559,IAH,US,2425,4.529896907216495,Airports
560,ICT,AA,163,5.392638036809816,Airports
561,ICT,DL,858,-2.5093240093240095,Airports
562,ICT,EV,2076,4.345857418111754,Airports
563,ICT,MQ,384,9.908854166666666,Airports
564,ICT,OO,2446,11.592395748160262,Airports
565,ICT,UA,455,7.208791208791209,Airports
566,ICT,WN,1523,5.979645436638214,Airports
567,IDA,F9,2,21.0,Airports
568,IDA,OO,2227,1.3080377189043557,Airports
569,ILG,F9,95,21.989473684210527,Airports
570,ILM,AA,161,4.391304347826087,Airports
571,ILM,DL,348,5.818965517241379,Airports
