Unnamed: 0,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_AIRPORT_LAT,ORIGIN_AIRPORT_LON,DESTINATION_AIRPORT_LAT,DESTINATION_AIRPORT_LON
389,AA,SJU,MIA,18.43942,-66.00183,25.79325,-80.29056
390,AA,MKE,DFW,42.94722,-87.89658,32.89595,-97.0372
391,AS,SEA,SFO,47.44898,-122.30931,37.619,-122.37484
392,AS,SEA,LAS,47.44898,-122.30931,36.08036,-115.15233
393,B6,BTV,JFK,44.473,-73.15031,40.63975,-73.77893
394,B6,JFK,FLL,40.63975,-73.77893,26.07258,-80.15275
395,B6,SFO,LGB,37.619,-122.37484,33.81772,-118.15161
396,B6,PBI,BOS,26.68316,-80.09559,42.36435,-71.00518000000001
397,B6,MCO,JFK,28.428890000000003,-81.31603,40.63975,-73.77893
399,DL,BDL,ATL,41.93887,-72.68323000000001,33.640440000000005,-84.42694
400,DL,RDU,ATL,35.87764,-78.78747,33.640440000000005,-84.42694
401,DL,SFO,SLC,37.619,-122.37484,40.78839,-111.97777
402,EV,TUS,IAH,32.11608,-110.94103,29.98047,-95.33972
403,EV,PIA,ATL,40.66424,-89.69331,33.640440000000005,-84.42694
404,F9,IND,DEN,39.71733,-86.29438,39.85841,-104.667
405,F9,MCI,DEN,39.29761,-94.71391,39.85841,-104.667
414,OO,OKC,LAX,35.39309,-97.60073,33.94254,-118.40807
415,OO,FAR,DEN,46.91935,-96.81499,39.85841,-104.667
418,OO,MTJ,DEN,38.50887,-107.89383,39.85841,-104.667
419,NK,RSW,DTW,26.53617,-81.75516999999999,42.21206,-83.34884
420,OO,GCC,RKS,44.3489,-105.53936000000002,41.59422,-109.06519
421,UA,MSY,EWR,29.99339,-90.25803,40.6925,-74.16866
422,UA,ORD,MCO,41.9796,-87.90446,28.428890000000003,-81.31603
423,EV,RIC,ORD,37.50517,-77.31967,41.9796,-87.90446
424,OO,RDM,SFO,44.25407,-121.14996,37.619,-122.37484
425,HA,OGG,HNL,20.89865,-156.43046,21.31869,-157.92241
426,OO,SJC,SLC,37.36186,-121.92901,40.78839,-111.97777
427,OO,ORD,MBS,41.9796,-87.90446,43.53291,-84.07965
428,US,EWR,CLT,40.6925,-74.16866,35.214009999999995,-80.94313000000001
429,WN,PHX,BWI,33.43417,-112.00806,39.1754,-76.6682
430,UA,SEA,IAD,47.44898,-122.30931,38.94453,-77.45581
431,UA,LAS,SFO,36.08036,-115.15233,37.619,-122.37484
436,AA,LAX,STL,33.94254,-118.40807,38.747690000000006,-90.35999
437,AS,OAK,SEA,37.72129,-122.22072,47.44898,-122.30931
438,AS,SEA,LAX,47.44898,-122.30931,33.94254,-118.40807
439,B6,BOS,IAD,42.36435,-71.00518000000001,38.94453,-77.45581
440,B6,LAX,JFK,33.94254,-118.40807,40.63975,-73.77893
441,B6,DCA,FLL,38.85208,-77.03772,26.07258,-80.15275
442,B6,DTW,BOS,42.21206,-83.34884,42.36435,-71.00518000000001
443,AA,BNA,LAX,36.12448,-86.67818,33.94254,-118.40807
444,DL,PHL,ATL,39.87195,-75.24114,33.640440000000005,-84.42694
445,DL,PHX,MSP,33.43417,-112.00806,44.88055,-93.21692
446,B6,SJU,FLL,18.43942,-66.00183,26.07258,-80.15275
447,EV,VPS,IAH,30.48325,-86.5254,29.98047,-95.33972
448,EV,GUC,DEN,38.53396,-106.93318,39.85841,-104.667
450,MQ,RIC,MIA,37.50517,-77.31967,25.79325,-80.29056
452,MQ,ORF,MIA,36.89461,-76.20121999999999,25.79325,-80.29056
453,OO,MOT,DEN,48.25938,-101.28033,39.85841,-104.667
454,AA,STL,MIA,38.747690000000006,-90.35999,25.79325,-80.29056
