ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents,parents2,TOTAL_FLIGHTS
903,ORD,NK,9675,24.33312661498708,Airports,Airlines,105059
904,ORD,OO,36431,13.774477779912711,Airports,Airlines,530182
905,ORD,UA,58303,19.71272490266367,Airports,Airlines,462086
906,ORD,US,3351,7.150701283199045,Airports,Airlines,194223
907,ORD,VX,1373,11.30735615440641,Airports,Airlines,55813
908,ORF,AA,1007,10.817279046673288,Airports,Airlines,636554
909,ORF,DL,2696,6.341246290801187,Airports,Airlines,794817
910,ORF,EV,1898,11.099051633298208,Airports,Airlines,509621
911,ORF,MQ,633,11.58609794628752,Airports,Airlines,257130
912,ORF,OO,469,17.51172707889126,Airports,Airlines,530182
913,ORF,UA,99,8.282828282828282,Airports,Airlines,462086
914,ORF,US,200,2.6,Airports,Airlines,194223
915,ORF,WN,2082,10.063400576368876,Airports,Airlines,1138350
916,ORH,B6,632,5.243670886075949,Airports,Airlines,240304
917,OTH,OO,264,17.806818181818183,Airports,Airlines,530182
918,OTZ,AS,633,4.22432859399684,Airports,Airlines,157025
919,PAH,OO,622,7.868167202572347,Airports,Airlines,530182
920,PBG,NK,278,12.12230215827338,Airports,Airlines,105059
921,PBI,AA,2875,5.364869565217392,Airports,Airlines,636554
922,PBI,B6,6567,17.617024516522005,Airports,Airlines,240304
923,PBI,DL,5629,10.9589625155445,Airports,Airlines,794817
924,PBI,EV,142,14.830985915492958,Airports,Airlines,509621
925,PBI,F9,183,21.40437158469945,Airports,Airlines,82005
926,PBI,NK,304,6.9506578947368425,Airports,Airlines,105059
927,PBI,OO,76,9.157894736842104,Airports,Airlines,530182
928,PBI,UA,2039,14.763609612555172,Airports,Airlines,462086
929,PBI,US,1824,3.7033991228070176,Airports,Airlines,194223
930,PBI,WN,2495,12.59238476953908,Airports,Airlines,1138350
931,PDX,AA,2688,8.274925595238095,Airports,Airlines,636554
932,PDX,AS,12820,1.0957878315132603,Airports,Airlines,157025
933,PDX,B6,1294,7.068006182380216,Airports,Airlines,240304
934,PDX,DL,5421,4.232613908872902,Airports,Airlines,794817
935,PDX,F9,840,5.526190476190476,Airports,Airlines,82005
936,PDX,HA,334,0.311377245508982,Airports,Airlines,69815
937,PDX,NK,649,17.423728813559322,Airports,Airlines,105059
938,PDX,OO,5333,4.757172323270204,Airports,Airlines,530182
939,PDX,UA,5180,8.656756756756756,Airports,Airlines,462086
940,PDX,US,1017,0.3166175024582104,Airports,Airlines,194223
941,PDX,VX,342,-1.304093567251462,Airports,Airlines,55813
942,PDX,WN,10859,8.812505755594438,Airports,Airlines,1138350
943,PHF,DL,81,9.679012345679013,Airports,Airlines,794817
944,PHF,EV,1146,11.191972076788833,Airports,Airlines,509621
945,PHF,F9,2,17.0,Airports,Airlines,82005
946,PHL,AA,20881,7.5632871988889425,Airports,Airlines,636554
947,PHL,AS,332,6.626506024096385,Airports,Airlines,157025
948,PHL,B6,1565,12.187220447284345,Airports,Airlines,240304
949,PHL,DL,6509,9.931018589645106,Airports,Airlines,794817
950,PHL,EV,137,10.81021897810219,Airports,Airlines,509621
951,PHL,F9,2570,20.91634241245136,Airports,Airlines,82005
952,PHL,MQ,9,12.77777777777778,Airports,Airlines,257130
953,PHL,NK,1215,19.842798353909465,Airports,Airlines,105059
954,PHL,OO,10,32.9,Airports,Airlines,530182
955,PHL,UA,3627,14.350151640474222,Airports,Airlines,462086
956,PHL,US,19931,9.89318147609252,Airports,Airlines,194223
957,PHL,WN,7965,12.17639673571877,Airports,Airlines,1138350
