AIRPORT,MEAN_DEPARTURE_DELAY,ORIGIN_LAT,ORIGIN_LON,MEAN_DESTINATION_DELAY,DESTINATION_LAT,DESTINATION_LON
SCC,0.1,70.19476,-148.46516,0.1,70.19476,-148.46516
SCE,0.1,40.85121,-77.8463,1.0,40.85121,-77.8463
SDF,0.1,38.17439,-85.736,0.1,38.17439,-85.736
SEA,4.872340425531915,47.44898,-122.30931000000001,0.1,47.44898,-122.30931
SFO,9.291764705882352,37.619,-122.37484,0.754257907542579,37.619,-122.37484
SGF,13.0,37.24433,-93.38686000000001,34.46153846153846,37.24433,-93.38686
SGU,5.0,37.09058,-113.59306,5.666666666666667,37.09058,-113.59306
SHV,15.571428571428571,32.44663,-93.8256,17.785714285714285,32.44663,-93.8256
SIT,0.1,57.04714,-135.3616,0.1,57.04713999999999,-135.3616
SJC,6.867469879518072,37.36186,-121.92901,6.858823529411764,37.36186,-121.92901
SJU,14.13953488372093,18.43942,-66.00183,0.1,18.43942,-66.00183
SLC,11.602678571428571,40.78839,-111.97777,0.3963963963963964,40.78839000000001,-111.97777
SMF,7.226190476190476,38.69542,-121.59077,8.627906976744185,38.69542,-121.59077
SMX,10.0,34.89925,-120.45758,4.5,34.89925,-120.45758
SNA,5.409090909090909,33.67566,-117.86822000000001,1.0113636363636365,33.67566,-117.86822000000001
SPI,3.75,39.84395,-89.67761999999999,37.5,39.84395,-89.67761999999999
SPS,16.0,33.9888,-98.49189,23.0,33.9888,-98.49189
SRQ,4.222222222222222,27.39533,-82.55411,0.1,27.39533,-82.55411
STC,29.5,45.54532,-94.05834,35.0,45.54532,-94.05834
STL,7.794117647058823,38.747690000000006,-90.35999,7.471153846153846,38.747690000000006,-90.35999
STT,0.1,18.33731,-64.97336,0.1,18.33731,-64.97336
STX,13.0,17.70189,-64.79856,3.3333333333333335,17.70189,-64.79856
SUN,55.5,43.50484,-114.29659,37.666666666666664,43.50484,-114.29659
SUX,18.0,42.4026,-96.38437,31.5,42.4026,-96.38437
SWF,0.1,41.504090000000005,-74.10484,0.5,41.504090000000005,-74.10484
SYR,0.1,43.11119,-76.10631,0.1,43.11119,-76.10631
TLH,0.1,30.39653,-84.35033,0.1,30.39653,-84.35033
TOL,0.1,41.58681,-83.80783000000001,0.1,41.58681,-83.80783000000001
TPA,3.3442622950819674,27.97547,-82.53325,2.022222222222222,27.97547,-82.53325
TRI,0.1,36.47521,-82.40742,0.1,36.47521,-82.40742
TTN,18.6,40.27669,-74.81347,11.2,40.27669,-74.81347
TUL,19.225806451612904,36.19837,-95.88823999999998,20.060606060606062,36.19837,-95.88824
TUS,13.136363636363637,32.11608,-110.94103,17.27659574468085,32.11608,-110.94103
TVC,0.1,44.74143999999999,-85.58224,0.1,44.74143999999999,-85.58224
TWF,0.1,42.4818,-114.48774,1.5,42.4818,-114.48774
TXK,18.0,33.45371,-93.99102,39.5,33.45371,-93.99102
TYR,0.1,32.35414,-95.40239,59.666666666666664,32.35414,-95.40239000000001
TYS,11.761904761904763,35.812490000000004,-83.99286,2.95,35.812490000000004,-83.99286
VEL,40.5,40.4409,-109.50992,0.1,40.4409,-109.50992
VLD,0.1,30.7825,-83.27672,0.1,30.7825,-83.27672
VPS,0.1,30.48325,-86.5254,0.1,30.483250000000005,-86.5254
WRG,0.1,56.48433000000001,-132.36982,0.1,56.48433000000001,-132.36982
XNA,11.466666666666667,36.28187,-94.30681,15.8,36.28187,-94.30681
YUM,11.166666666666666,32.65658,-114.60597,11.0,32.65658,-114.60597
ROW,,,,24.0,33.301559999999995,-104.53056
