ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT,AVERAGE_DEPARTURE_DELAY,parents_origin
429,FLL,NK,11374,13.512132934763496,Airports
430,FLL,UA,5067,9.11880797315966,Airports
431,FLL,US,3074,5.01854261548471,Airports
432,FLL,VX,1227,9.972290138549308,Airports
433,FLL,WN,17425,9.193974175035867,Airports
434,FNT,DL,924,3.103896103896104,Airports
435,FNT,EV,895,5.081564245810056,Airports
436,FNT,MQ,902,4.761640798226164,Airports
437,FNT,OO,437,2.17162471395881,Airports
438,FNT,WN,1471,5.0931339225017,Airports
439,FSD,DL,425,2.2494117647058824,Airports
440,FSD,EV,1719,9.159394997091333,Airports
441,FSD,F9,168,20.083333333333332,Airports
442,FSD,MQ,866,10.747113163972287,Airports
443,FSD,OO,1975,9.780759493670885,Airports
444,FSD,UA,4,-1.25,Airports
445,FSM,EV,1399,7.273052180128663,Airports
446,FSM,MQ,511,5.542074363992172,Airports
447,FWA,EV,325,7.990769230769231,Airports
448,FWA,MQ,1810,8.109944751381216,Airports
449,FWA,OO,2944,10.468070652173912,Airports
450,GCC,OO,982,1.4338085539714867,Airports
451,GCK,EV,25,26.52,Airports
452,GCK,MQ,612,5.2140522875816995,Airports
453,GEG,AA,262,-1.3396946564885497,Airports
454,GEG,AS,1528,2.6714659685863875,Airports
455,GEG,DL,1440,6.653472222222222,Airports
456,GEG,F9,5,44.0,Airports
457,GEG,OO,2376,4.216329966329966,Airports
458,GEG,UA,612,7.88562091503268,Airports
459,GEG,US,322,-2.2639751552795033,Airports
460,GEG,WN,2895,6.540241796200346,Airports
461,GFK,OO,714,3.03781512605042,Airports
462,GGG,EV,147,16.5578231292517,Airports
463,GGG,MQ,466,5.491416309012876,Airports
464,GJT,EV,334,3.808383233532934,Airports
465,GJT,MQ,817,7.15422276621787,Airports
466,GJT,OO,1971,0.4429223744292237,Airports
467,GNV,DL,271,3.7306273062730626,Airports
468,GNV,EV,1795,9.667409470752089,Airports
469,GNV,MQ,569,7.597539543057996,Airports
470,GPT,DL,1127,3.8908606921029283,Airports
471,GPT,EV,1974,4.120060790273556,Airports
472,GPT,MQ,413,8.595641646489105,Airports
473,GRB,DL,616,2.1396103896103895,Airports
474,GRB,EV,1724,4.1757540603248255,Airports
475,GRB,MQ,1219,4.737489745693191,Airports
476,GRB,OO,1161,5.9181739879414295,Airports
477,GRI,MQ,607,4.782537067545305,Airports
478,GRK,EV,2517,7.651569328565753,Airports
479,GRK,MQ,1352,3.6131656804733727,Airports
480,GRR,DL,2818,3.9737402413058907,Airports
481,GRR,EV,1639,7.226357535082367,Airports
482,GRR,MQ,2594,10.724749421742482,Airports
483,GRR,OO,1123,7.936776491540517,Airports
484,GRR,UA,536,14.173507462686567,Airports
485,GRR,WN,1831,7.040961223375205,Airports
486,GSO,AA,141,-0.1276595744680851,Airports
487,GSO,DL,1890,5.386772486772487,Airports
488,GSO,EV,3127,11.885833066837224,Airports
489,GSO,F9,132,9.780303030303031,Airports
490,GSO,MQ,1168,12.531678082191782,Airports
491,GSO,OO,3,26.333333333333332,Airports
492,GSO,US,1,1.0,Airports
493,GSP,DL,1672,5.8169856459330145,Airports
494,GSP,EV,2927,6.5418517253160235,Airports
495,GSP,MQ,462,8.203463203463203,Airports
496,GSP,OO,22,1.2727272727272727,Airports
497,GSP,WN,1297,9.729375481881265,Airports
498,GST,AS,76,17.17105263157895,Airports
499,GTF,OO,1944,0.9969135802469136,Airports
500,GTR,EV,912,7.290570175438597,Airports
501,GUC,AA,113,5.814159292035399,Airports
502,GUC,EV,156,7.416666666666667,Airports
503,GUC,MQ,8,21.5,Airports
504,GUC,OO,171,14.64327485380117,Airports
505,GUC,UA,24,13.875,Airports
506,GUM,UA,331,16.483383685800604,Airports
